subj,targ,targ_cond,targ_ord,targ_pos,f1,f1_cond,f1_ord,f1_pos,f2,f2_cond,f2_ord,f2_pos,targ_f1,targ_f2,f1_f2
1,0,'Expected',193,3,1,'Expected',31,2,0,'Unexpected',1,1,162,192,30
1,1,'Expected',2,1,1,'Expected',149,3,1,'Expected',39,2,-147,-37,110
1,1,'Expected',170,3,1,'Unexpected',3,1,1,'Expected',140,2,167,30,-137
1,0,'Expected',28,2,0,'Unexpected',4,1,0,'Expected',33,3,24,-5,-29
1,1,'Unexpected',5,1,1,'Expected',91,3,1,'Expected',50,2,-86,-45,41
1,1,'Expected',54,2,0,'Expected',6,1,1,'Expected',62,3,48,-8,-56
1,1,'Expected',56,2,1,'Expected',7,1,1,'Expected',82,3,49,-26,-75
1,0,'Unexpected',8,1,1,'Expected',88,2,1,'Expected',121,3,-80,-113,-33
1,1,'Expected',9,1,1,'Expected',113,3,0,'Unexpected',90,2,-104,-81,23
1,1,'Unexpected',60,2,1,'Expected',10,1,0,'Unexpected',102,3,50,-42,-92
1,1,'Expected',52,3,0,'Expected',21,2,1,'Expected',11,1,31,41,10
1,0,'Expected',132,3,0,'Expected',51,2,0,'Expected',12,1,81,120,39
1,1,'Expected',13,1,1,'Unexpected',180,2,1,'Expected',197,3,-167,-184,-17
1,1,'Expected',205,3,1,'Unexpected',14,1,0,'Unexpected',97,2,191,108,-83
1,1,'Unexpected',15,1,1,'Expected',234,3,1,'Expected',101,2,-219,-86,133
1,1,'Expected',143,2,1,'Expected',232,3,1,'Unexpected',16,1,-89,127,216
1,1,'Expected',25,2,1,'Expected',222,3,0,'Unexpected',17,1,-197,8,205
1,1,'Expected',122,3,1,'Unexpected',44,2,1,'Unexpected',18,1,78,104,26
1,1,'Expected',19,1,1,'Unexpected',63,2,1,'Expected',163,3,-44,-144,-100
1,0,'Unexpected',211,2,0,'Unexpected',20,1,1,'Unexpected',226,3,191,-15,-206
1,1,'Expected',22,1,1,'Expected',171,2,1,'Unexpected',228,3,-149,-206,-57
1,1,'Expected',23,1,0,'Expected',196,3,0,'Unexpected',110,2,-173,-87,86
1,1,'Expected',24,1,1,'Expected',206,3,1,'Expected',166,2,-182,-142,40
1,0,'Unexpected',26,1,0,'Unexpected',64,2,1,'Expected',75,3,-38,-49,-11
1,1,'Expected',27,1,1,'Expected',183,3,1,'Expected',141,2,-156,-114,42
1,1,'Expected',201,3,0,'Expected',29,1,0,'Expected',106,2,172,95,-77
1,1,'Expected',65,2,1,'Unexpected',30,1,1,'Expected',107,3,35,-42,-77
1,1,'Expected',131,2,1,'Unexpected',160,3,1,'Expected',32,1,-29,99,128
1,1,'Expected',154,2,0,'Expected',203,3,0,'Expected',34,1,-49,120,169
1,1,'Expected',35,1,0,'Unexpected',115,2,1,'Unexpected',169,3,-80,-134,-54
1,1,'Expected',36,1,1,'Expected',223,3,1,'Expected',98,2,-187,-62,125
1,0,'Unexpected',37,1,1,'Expected',94,2,1,'Unexpected',213,3,-57,-176,-119
1,0,'Unexpected',38,1,0,'Unexpected',220,2,1,'Expected',229,3,-182,-191,-9
1,1,'Unexpected',128,2,1,'Expected',194,3,1,'Expected',40,1,-66,88,154
1,0,'Expected',117,3,1,'Expected',41,1,1,'Expected',77,2,76,40,-36
1,1,'Unexpected',129,2,1,'Expected',152,3,0,'Unexpected',42,1,-23,87,110
1,1,'Unexpected',165,2,1,'Expected',177,3,0,'Expected',43,1,-12,122,134
1,0,'Expected',221,3,1,'Unexpected',112,2,1,'Expected',45,1,109,176,67
1,1,'Expected',202,3,1,'Unexpected',46,1,0,'Unexpected',179,2,156,23,-133
1,1,'Expected',139,3,0,'Expected',47,1,1,'Expected',104,2,92,35,-57
1,1,'Unexpected',48,1,1,'Unexpected',199,3,1,'Unexpected',108,2,-151,-60,91
1,1,'Unexpected',157,2,1,'Expected',209,3,0,'Unexpected',49,1,-52,108,160
1,1,'Expected',190,2,0,'Expected',208,3,1,'Expected',53,1,-18,137,155
1,1,'Unexpected',133,3,1,'Expected',127,2,1,'Expected',55,1,6,78,72
1,0,'Unexpected',137,2,1,'Unexpected',142,3,1,'Unexpected',57,1,-5,80,85
1,1,'Expected',58,1,0,'Expected',153,2,0,'Expected',192,3,-95,-134,-39
1,1,'Unexpected',59,1,1,'Expected',191,3,1,'Unexpected',156,2,-132,-97,35
1,0,'Expected',207,3,0,'Unexpected',184,2,0,'Unexpected',61,1,23,146,123
1,1,'Expected',230,3,0,'Expected',204,2,0,'Unexpected',66,1,26,164,138
1,1,'Unexpected',93,2,1,'Unexpected',185,3,1,'Expected',67,1,-92,26,118
1,1,'Expected',144,2,0,'Expected',68,1,1,'Expected',186,3,76,-42,-118
1,0,'Expected',210,2,1,'Expected',233,3,0,'Expected',69,1,-23,141,164
1,0,'Unexpected',178,2,0,'Expected',70,1,1,'Expected',212,3,108,-34,-142
1,1,'Expected',176,3,1,'Expected',71,1,1,'Expected',85,2,105,91,-14
1,0,'Unexpected',72,1,1,'Unexpected',217,3,1,'Expected',147,2,-145,-75,70
1,0,'Expected',219,3,1,'Expected',161,2,1,'Expected',73,1,58,146,88
1,1,'Expected',224,3,1,'Unexpected',74,1,1,'Expected',155,2,150,69,-81
1,1,'Expected',167,2,1,'Expected',76,1,1,'Expected',172,3,91,-5,-96
1,1,'Expected',78,1,0,'Unexpected',216,3,1,'Expected',195,2,-138,-117,21
1,0,'Expected',116,3,1,'Expected',79,1,1,'Unexpected',87,2,37,29,-8
1,1,'Unexpected',168,3,1,'Unexpected',80,1,0,'Expected',126,2,88,42,-46
1,1,'Expected',173,2,0,'Expected',81,1,1,'Unexpected',231,3,92,-58,-150
1,1,'Expected',83,1,1,'Expected',215,3,1,'Expected',198,2,-132,-115,17
1,1,'Expected',200,3,1,'Unexpected',189,2,0,'Expected',84,1,11,116,105
1,1,'Unexpected',175,3,1,'Unexpected',150,2,1,'Expected',86,1,25,89,64
1,1,'Expected',164,2,0,'Unexpected',89,1,0,'Unexpected',227,3,75,-63,-138
1,0,'Unexpected',138,3,1,'Unexpected',123,2,1,'Unexpected',92,1,15,46,31
1,0,'Expected',146,3,1,'Expected',95,1,0,'Expected',103,2,51,43,-8
1,1,'Expected',182,3,0,'Expected',96,1,1,'Unexpected',119,2,86,63,-23
1,1,'Unexpected',188,3,0,'Expected',99,1,1,'Expected',162,2,89,26,-63
1,1,'Expected',100,1,1,'Expected',114,2,0,'Expected',214,3,-14,-114,-100
1,1,'Unexpected',120,2,0,'Expected',105,1,1,'Expected',151,3,15,-31,-46
1,0,'Unexpected',109,1,1,'Expected',136,2,1,'Expected',187,3,-27,-78,-51
1,1,'Expected',111,1,0,'Expected',218,3,1,'Expected',134,2,-107,-23,84
1,0,'Expected',145,2,1,'Expected',174,3,1,'Expected',118,1,-29,27,56
1,1,'Expected',181,3,1,'Expected',148,2,1,'Expected',124,1,33,57,24
1,1,'Expected',125,1,1,'Expected',135,2,0,'Expected',159,3,-10,-34,-24
1,1,'Unexpected',158,2,0,'Unexpected',130,1,0,'Expected',225,3,28,-67,-95
10,0,'Expected',55,3,1,'Expected',1,1,0,'Expected',11,2,54,44,-10
10,0,'Expected',162,3,0,'Expected',2,1,1,'Expected',152,2,160,10,-150
10,1,'Expected',3,1,0,'Expected',24,3,1,'Expected',15,2,-21,-12,9
10,1,'Expected',151,3,0,'Unexpected',36,2,0,'Unexpected',4,1,115,147,32
10,1,'Expected',5,1,1,'Expected',68,3,1,'Expected',25,2,-63,-20,43
10,0,'Expected',73,3,0,'Unexpected',30,2,1,'Expected',6,1,43,67,24
10,0,'Expected',7,1,0,'Expected',109,3,1,'Expected',70,2,-102,-63,39
10,1,'Expected',8,1,0,'Expected',27,3,1,'Unexpected',16,2,-19,-8,11
10,1,'Expected',9,1,0,'Unexpected',106,3,1,'Expected',63,2,-97,-54,43
10,0,'Expected',102,3,0,'Expected',100,2,1,'Expected',10,1,2,92,90
10,1,'Unexpected',62,2,0,'Expected',179,3,1,'Expected',12,1,-117,50,167
10,0,'Expected',228,3,1,'Expected',180,2,1,'Unexpected',13,1,48,215,167
10,0,'Expected',155,3,1,'Unexpected',143,2,0,'Expected',14,1,12,141,129
10,1,'Expected',207,3,0,'Unexpected',181,2,1,'Unexpected',17,1,26,190,164
10,1,'Unexpected',87,2,1,'Expected',127,3,1,'Unexpected',18,1,-40,69,109
10,0,'Expected',19,1,1,'Expected',185,3,1,'Expected',124,2,-166,-105,61
10,1,'Expected',20,1,1,'Unexpected',153,2,1,'Expected',216,3,-133,-196,-63
10,0,'Unexpected',135,2,1,'Unexpected',142,3,0,'Unexpected',21,1,-7,114,121
10,1,'Unexpected',104,2,1,'Expected',158,3,1,'Unexpected',22,1,-54,82,136
10,1,'Unexpected',211,3,0,'Unexpected',23,1,1,'Expected',130,2,188,81,-107
10,1,'Expected',26,1,1,'Expected',196,3,0,'Unexpected',168,2,-170,-142,28
10,1,'Expected',113,2,1,'Unexpected',28,1,1,'Expected',169,3,85,-56,-141
10,1,'Expected',129,2,1,'Unexpected',195,3,0,'Expected',29,1,-66,100,166
10,1,'Unexpected',31,1,0,'Expected',38,2,1,'Expected',234,3,-7,-203,-196
10,0,'Expected',111,2,0,'Expected',191,3,0,'Expected',32,1,-80,79,159
10,1,'Expected',99,2,0,'Expected',139,3,1,'Expected',33,1,-40,66,106
10,1,'Unexpected',220,3,0,'Unexpected',175,2,0,'Unexpected',34,1,45,186,141
10,0,'Expected',46,2,1,'Expected',58,3,0,'Unexpected',35,1,-12,11,23
10,0,'Expected',200,3,0,'Unexpected',37,1,1,'Unexpected',177,2,163,23,-140
10,1,'Unexpected',39,1,1,'Expected',66,2,1,'Unexpected',82,3,-27,-43,-16
10,1,'Expected',40,1,1,'Unexpected',64,2,1,'Unexpected',103,3,-24,-63,-39
10,1,'Expected',148,2,1,'Expected',192,3,1,'Expected',41,1,-44,107,151
10,1,'Unexpected',112,2,1,'Expected',42,1,1,'Expected',146,3,70,-34,-104
10,1,'Unexpected',114,2,0,'Unexpected',43,1,1,'Expected',166,3,71,-52,-123
10,1,'Expected',199,2,0,'Expected',44,1,1,'Unexpected',204,3,155,-5,-160
10,1,'Expected',45,1,1,'Expected',85,2,1,'Expected',171,3,-40,-126,-86
10,0,'Unexpected',170,2,0,'Expected',47,1,1,'Expected',213,3,123,-43,-166
10,1,'Unexpected',159,3,1,'Expected',48,1,0,'Expected',110,2,111,49,-62
10,1,'Unexpected',119,3,0,'Unexpected',67,2,1,'Expected',49,1,52,70,18
10,0,'Expected',167,2,0,'Expected',183,3,1,'Expected',50,1,-16,117,133
10,1,'Expected',230,3,1,'Expected',75,2,1,'Unexpected',51,1,155,179,24
10,1,'Expected',187,2,0,'Expected',217,3,1,'Unexpected',52,1,-30,135,165
10,1,'Unexpected',53,1,0,'Expected',157,2,1,'Expected',174,3,-104,-121,-17
10,1,'Expected',117,2,0,'Unexpected',54,1,1,'Expected',161,3,63,-44,-107
10,0,'Unexpected',182,2,0,'Unexpected',222,3,1,'Expected',56,1,-40,126,166
10,1,'Expected',208,2,0,'Expected',57,1,1,'Expected',233,3,151,-25,-176
10,1,'Unexpected',59,1,1,'Expected',108,3,1,'Unexpected',97,2,-49,-38,11
10,1,'Unexpected',95,2,1,'Expected',229,3,1,'Expected',60,1,-134,35,169
10,0,'Unexpected',61,1,0,'Expected',232,3,1,'Expected',202,2,-171,-141,30
10,1,'Expected',210,3,0,'Unexpected',65,1,1,'Expected',86,2,145,124,-21
10,1,'Expected',69,1,1,'Unexpected',126,2,1,'Expected',224,3,-57,-155,-98
10,0,'Unexpected',172,2,1,'Unexpected',71,1,0,'Unexpected',218,3,101,-46,-147
10,0,'Expected',72,1,0,'Expected',98,2,1,'Expected',145,3,-26,-73,-47
10,1,'Unexpected',74,1,0,'Expected',184,3,1,'Expected',121,2,-110,-47,63
10,1,'Unexpected',76,1,0,'Unexpected',226,3,1,'Unexpected',203,2,-150,-127,23
10,1,'Expected',77,1,0,'Expected',131,2,0,'Expected',201,3,-54,-124,-70
10,1,'Expected',186,3,0,'Expected',147,2,1,'Expected',78,1,39,108,69
10,0,'Expected',141,3,1,'Expected',79,1,0,'Unexpected',107,2,62,34,-28
10,1,'Expected',198,2,1,'Expected',80,1,1,'Expected',214,3,118,-16,-134
10,1,'Expected',136,2,0,'Expected',81,1,1,'Expected',197,3,55,-61,-116
10,1,'Unexpected',205,3,0,'Expected',190,2,0,'Expected',83,1,15,122,107
10,1,'Expected',84,1,0,'Expected',193,3,1,'Expected',178,2,-109,-94,15
10,0,'Expected',215,3,0,'Unexpected',88,1,1,'Unexpected',176,2,127,39,-88
10,1,'Expected',105,2,1,'Unexpected',89,1,1,'Unexpected',173,3,16,-68,-84
10,1,'Expected',134,3,0,'Unexpected',90,1,1,'Expected',128,2,44,6,-38
10,1,'Expected',188,3,0,'Expected',91,1,1,'Expected',156,2,97,32,-65
10,1,'Expected',92,1,1,'Expected',219,3,0,'Expected',209,2,-127,-117,10
10,1,'Unexpected',93,1,1,'Unexpected',115,2,1,'Expected',133,3,-22,-40,-18
10,0,'Expected',189,3,0,'Expected',140,2,1,'Expected',94,1,49,95,46
10,1,'Unexpected',96,1,1,'Unexpected',149,3,1,'Expected',137,2,-53,-41,12
10,1,'Expected',212,2,1,'Expected',101,1,1,'Expected',221,3,111,-9,-120
10,1,'Expected',116,1,1,'Expected',163,2,1,'Unexpected',223,3,-47,-107,-60
10,1,'Expected',164,3,0,'Expected',118,1,1,'Unexpected',132,2,46,32,-14
10,0,'Unexpected',138,2,1,'Expected',120,1,1,'Unexpected',154,3,18,-16,-34
10,1,'Unexpected',122,1,0,'Unexpected',165,2,1,'Expected',225,3,-43,-103,-60
10,1,'Expected',194,3,0,'Expected',123,1,1,'Expected',144,2,71,50,-21
10,1,'Expected',227,3,0,'Expected',125,1,1,'Expected',206,2,102,21,-81
10,0,'Expected',231,3,0,'Expected',160,2,1,'Expected',150,1,71,81,10
11,0,'Expected',1,1,0,'Unexpected',169,2,0,'Expected',230,3,-168,-229,-61
11,1,'Unexpected',38,2,0,'Unexpected',152,3,0,'Unexpected',2,1,-114,36,150
11,0,'Expected',61,3,1,'Expected',3,1,1,'Expected',12,2,58,49,-9
11,1,'Unexpected',32,2,0,'Unexpected',4,1,1,'Unexpected',54,3,28,-22,-50
11,1,'Unexpected',5,1,0,'Expected',55,2,1,'Expected',222,3,-50,-217,-167
11,1,'Unexpected',6,1,1,'Expected',24,2,1,'Expected',159,3,-18,-153,-135
11,1,'Expected',28,2,1,'Expected',52,3,1,'Unexpected',7,1,-24,21,45
11,1,'Expected',16,2,0,'Expected',40,3,0,'Expected',8,1,-24,8,32
11,1,'Expected',93,3,0,'Expected',9,1,1,'Expected',72,2,84,21,-63
11,1,'Expected',30,2,1,'Expected',31,3,1,'Unexpected',10,1,-1,20,21
11,1,'Expected',39,2,0,'Unexpected',71,3,1,'Expected',11,1,-32,28,60
11,1,'Expected',13,1,0,'Expected',187,2,1,'Expected',232,3,-174,-219,-45
11,1,'Unexpected',94,2,1,'Expected',14,1,1,'Expected',127,3,80,-33,-113
11,1,'Unexpected',15,1,0,'Unexpected',47,2,1,'Expected',155,3,-32,-140,-108
